country,iso3c,date,SPI.DIM2.1.INDEX,SPI.DIM2.2.INDEX,SPI.DIM2.4.INDEX,SPI.DIM3.1.INDEX,SPI.DIM3.2.INDEX,SPI.DIM3.3.INDEX,SPI.DIM3.4.INDEX,income,region,population
Switzerland,CHE,2019,1,0.63,1,0.739166667,0.7625,1,0.619,High income,Europe & Central Asia,8574832
France,FRA,2019,1,0.724,1,0.721333333,0.750666667,1,0.528,High income,Europe & Central Asia,67059887
Denmark,DNK,2019,1,0.961,1,0.6945,0.711833333,0.6945,0.528,High income,Europe & Central Asia,5818553
Estonia,EST,2019,1,0.818,1,0.701666667,0.709166667,0.639,0.528,High income,Europe & Central Asia,1326590
Japan,JPN,2019,1,0.716,1,0.675,0.756833333,1,0.5855,High income,East Asia & Pacific,126264931
Slovak Republic,SVK,2019,1,0.848,1,0.678666667,0.735833333,0.75,0.6025,High income,Europe & Central Asia,5454073
Portugal,PRT,2019,1,0.723,1,0.716166667,0.770833333,0.75,0.472,High income,Europe & Central Asia,10269417
Greece,GRC,2019,1,0.625,1,0.670666667,0.724666667,0.75,0.547,High income,Europe & Central Asia,10716322
New Zealand,NZL,2019,1,0.749,1,0.652333333,0.733666667,1,0.5635,High income,East Asia & Pacific,4917000
Czech Republic,CZE,2019,1,0.703,1,0.703333333,0.776333333,1,0.528,High income,Europe & Central Asia,10669709
Lithuania,LTU,2019,1,0.755,1,0.653833333,0.666333333,0.389,0.528,High income,Europe & Central Asia,2786844
Hungary,HUN,2019,1,0.606,1,0.697,0.7365,0.6945,0.528,High income,Europe & Central Asia,9769949
Turkey,TUR,2019,1,0.52,1,0.804666667,0.915333333,1,0.7265,Upper middle income,Europe & Central Asia,83429615
Latvia,LVA,2019,1,0.675,1,0.670666667,0.660666667,0.389,0.528,High income,Europe & Central Asia,1912789
United Kingdom,GBR,2019,1,0.604,1,0.717,0.766333333,1,0.472,High income,Europe & Central Asia,66834405
Chile,CHL,2019,1,0.309,1,0.77,0.867,1,0.5445,High income,Latin America & Caribbean,18952038
Belgium,BEL,2019,1,0.518,1,0.645666667,0.671,0.5,0.528,High income,Europe & Central Asia,11484055
Bulgaria,BGR,2019,1,0.703,1,0.591333333,0.572833333,0.8335,0.528,Upper middle income,Europe & Central Asia,6975761
Armenia,ARM,2019,1,0.549,1,0.8225,0.787833333,0.9445,0.7225,Upper middle income,Europe & Central Asia,2957731
Cyprus,CYP,2019,1,0.768,1,0.535666667,0.539833333,0.5835,0.4565,High income,Europe & Central Asia,1198575
Georgia,GEO,2019,1,0.594,1,0.756166667,0.664666667,0.9445,0.6905,Upper middle income,Europe & Central Asia,3720382
Costa Rica,CRI,2019,1,0.594,1,0.7645,0.725333333,0.9445,0.6625,Upper middle income,Latin America & Caribbean,5047561
Moldova,MDA,2019,1,0.827,1,0.590666667,0.489666667,0.4445,0.5995,Lower middle income,Europe & Central Asia,2657637
Kyrgyz Republic,KGZ,2019,1,0.444,1,0.769833333,0.656666667,0.9445,0.667,Lower middle income,Europe & Central Asia,6456900
Kazakhstan,KAZ,2019,1,0.464,1,0.805666667,0.719166667,0.9445,0.746,Upper middle income,Europe & Central Asia,18513930
Luxembourg,LUX,2019,1,0.713,1,0.631833333,0.678166667,0.4445,0.528,High income,Europe & Central Asia,619896
Russian Federation,RUS,2019,1,0.51,1,0.529,0.5845,0.8335,0.5075,Upper middle income,Europe & Central Asia,144373535
Israel,ISR,2019,1,0.572,1,0.588,0.665333333,0.389,0.528,High income,Middle East & North Africa,9053300
Iceland,ISL,2019,1,0.634,1,0.618166667,0.612,0.5,0.5855,High income,Europe & Central Asia,361313
Romania,ROU,2019,1,0.615,1,0.576,0.547833333,0.5835,0.5835,High income,Europe & Central Asia,19356544
Belarus,BLR,2019,1,0.377,1,0.721166667,0.657666667,0.639,0.655,Upper middle income,Europe & Central Asia,9466856
Brazil,BRA,2019,1,0.499,1,0.699666667,0.787833333,0.6945,0.6905,Upper middle income,Latin America & Caribbean,211049527
Mongolia,MNG,2019,0.5,0.9,1,0.8485,0.661833333,0.9445,0.7225,Lower middle income,East Asia & Pacific,3225167
Thailand,THA,2019,1,0.294,1,0.7495,0.710833333,0.9445,0.7735,Upper middle income,East Asia & Pacific,69625582
Mauritius,MUS,2019,1,0.586,1,0.550166667,0.609833333,0.4445,0.635,High income,Sub-Saharan Africa,1265711
Serbia,SRB,2019,0.5,0.521,1,0.698666667,0.618666667,0.9445,0.578,Upper middle income,Europe & Central Asia,6944975
Philippines,PHL,2019,1,0.648,1,0.790333333,0.650833333,0.9445,0.746,Lower middle income,East Asia & Pacific,108116615
Albania,ALB,2019,0.5,0.593,1,0.783,0.629833333,0.9445,0.6335,Upper middle income,Europe & Central Asia,2854191
Singapore,SGP,2019,1,1,1,0.442,0.407,0.278,0.548,High income,East Asia & Pacific,5703569
Malta,MLT,2019,1,0.52,1,0.504666667,0.463833333,0.278,0.4565,High income,Middle East & North Africa,502653
"Egypt, Arab Rep.",EGY,2019,1,0.304,1,0.733,0.6775,0.9445,0.635,Lower middle income,Middle East & North Africa,100388073
Colombia,COL,2019,1,0.528,1,0.834166667,0.800333333,0.9445,0.8015,Upper middle income,Latin America & Caribbean,50339443
South Africa,ZAF,2019,1,0.565,1,0.745666667,0.719166667,0.9445,0.667,Upper middle income,Sub-Saharan Africa,58558270
Ecuador,ECU,2019,1,0.632,1,0.776833333,0.7125,0.9445,0.7015,Upper middle income,Latin America & Caribbean,17373662
Sri Lanka,LKA,2019,1,0.431,1,0.724,0.636166667,0.9445,0.6115,Lower middle income,South Asia,21803000
Ukraine,UKR,2019,1,0.382,0,0.6635,0.6175,0.9445,0.5995,Lower middle income,Europe & Central Asia,44385155
Indonesia,IDN,2019,1,0.62,1,0.730833333,0.733,0.9445,0.655,Upper middle income,East Asia & Pacific,270625568
North Macedonia,MKD,2019,1,0.642,1,0.592,0.431,0.4445,0.578,Upper middle income,Europe & Central Asia,2083459
Malaysia,MYS,2019,1,0.521,1,0.758666667,0.655333333,0.9445,0.655,Upper middle income,East Asia & Pacific,31949777
West Bank and Gaza,PSE,2019,1,0.597,1,0.518333333,0.477666667,0.9445,0.522,Lower middle income,Middle East & North Africa,4685306
India,IND,2019,1,0.639,1,0.622666667,0.595166667,0.4445,0.7015,Lower middle income,South Asia,1366417754
Peru,PER,2019,1,0.573,1,0.806833333,0.699666667,0.9445,0.7225,Upper middle income,Latin America & Caribbean,32510453
El Salvador,SLV,2019,1,0.398,1,0.682166667,0.708,0.6945,0.667,Lower middle income,Latin America & Caribbean,6453553
Croatia,HRV,2019,1,0.523,0,0.598,0.5645,0.5835,0.512,High income,Europe & Central Asia,4067500
Azerbaijan,AZE,2019,0.5,0.439,1,0.622833333,0.568,0.6945,0.6115,Upper middle income,Europe & Central Asia,10023318
Uganda,UGA,2019,0.5,0.426,1,0.799,0.643666667,0.9445,0.7105,Low income,Sub-Saharan Africa,44269594
Rwanda,RWA,2019,0.5,0.673,1,0.761166667,0.652166667,0.6945,0.635,Low income,Sub-Saharan Africa,12626950
Montenegro,MNE,2019,0.5,0.428,1,0.703333333,0.560333333,0.9445,0.6335,Upper middle income,Europe & Central Asia,622137
Uruguay,URY,2019,1,0.517,1,0.6175,0.6515,0.889,0.5835,High income,Latin America & Caribbean,3461734
Vietnam,VNM,2019,0.5,0.42,1,0.5745,0.564666667,0.4445,0.5435,Lower middle income,East Asia & Pacific,96462106
Argentina,ARG,2019,1,0.384,1,0.7615,0.823666667,0.9445,0.667,Upper middle income,Latin America & Caribbean,44938712
Kuwait,KWT,2019,0.5,0.49,1,0.5335,0.510666667,0.528,0.472,High income,Middle East & North Africa,4207083
Tunisia,TUN,2019,1,0.57,1,0.701333333,0.593,0.6945,0.6115,Lower middle income,Middle East & North Africa,11694719
Dominican Republic,DOM,2019,0.5,0.468,1,0.6625,0.558,0.4445,0.6905,Upper middle income,Latin America & Caribbean,10738958
Myanmar,MMR,2019,0.5,0.512,1,0.755166667,0.645833333,0.9445,0.757,Lower middle income,East Asia & Pacific,54045420
Senegal,SEN,2019,1,0.431,1,0.719833333,0.610833333,0.6945,0.667,Lower middle income,Sub-Saharan Africa,16296364
Saudi Arabia,SAU,2019,0.5,0.322,1,0.415833333,0.51,0.5835,0.4165,High income,Middle East & North Africa,34268528
Qatar,QAT,2019,0.5,0.359,1,0.435833333,0.498333333,0.528,0.4555,High income,Middle East & North Africa,2832067
Bolivia,BOL,2019,0.5,0.556,1,0.7475,0.657,0.6945,0.7225,Lower middle income,Latin America & Caribbean,11513100
Jordan,JOR,2019,1,0.425,1,0.700333333,0.652166667,0.9445,0.7015,Upper middle income,Middle East & North Africa,10101694
Ghana,GHA,2019,0.5,0.338,1,0.693,0.645166667,0.6945,0.5,Lower middle income,Sub-Saharan Africa,30417856
Zimbabwe,ZWE,2019,0.5,0.298,1,0.669666667,0.651666667,0.9445,0.7105,Lower middle income,Sub-Saharan Africa,14645468
Bosnia and Herzegovina,BIH,2019,0.5,0.32,1,0.583166667,0.619166667,0.4445,0.5995,Upper middle income,Europe & Central Asia,3301000
Honduras,HND,2019,0.5,0.371,1,0.633833333,0.695166667,0.6945,0.667,Lower middle income,Latin America & Caribbean,9746117
Paraguay,PRY,2019,0.5,0.392,1,0.791666667,0.655333333,0.9445,0.829,Upper middle income,Latin America & Caribbean,7044636
Guatemala,GTM,2019,0.5,0.363,1,0.774,0.630333333,0.9445,0.757,Upper middle income,Latin America & Caribbean,16604026
Togo,TGO,2019,0.5,0.295,1,0.7185,0.601833333,0.9445,0.578,Low income,Sub-Saharan Africa,8082366
Pakistan,PAK,2019,0.5,0.329,1,0.7525,0.690333333,0.9445,0.5905,Lower middle income,South Asia,216565318
United Arab Emirates,ARE,2019,0.5,0.606,0,0.434333333,0.442666667,0.222,0.526,High income,Middle East & North Africa,9770529
Panama,PAN,2019,0.5,0.384,1,0.681666667,0.631166667,0.6945,0.5835,High income,Latin America & Caribbean,4246439
Morocco,MAR,2019,1,0.652,1,0.708333333,0.564166667,0.9445,0.6905,Lower middle income,Middle East & North Africa,36471769
Zambia,ZMB,2019,0.5,0.234,1,0.720666667,0.643666667,0.9445,0.5995,Lower middle income,Sub-Saharan Africa,17861030
Belize,BLZ,2019,0.5,0.368,1,0.596333333,0.527333333,0.4445,0.646,Upper middle income,Latin America & Caribbean,390353
Oman,OMN,2019,0.5,0.832,0,0.516666667,0.381333333,0.3335,0.497,High income,Middle East & North Africa,4974986
China,CHN,2019,1,0.392,0,0.597833333,0.625,0.6945,0.411,Upper middle income,East Asia & Pacific,1397715000
Tanzania,TZA,2019,0.5,0.321,1,0.714666667,0.5935,0.9445,0.6335,Lower middle income,Sub-Saharan Africa,58005463
Bangladesh,BGD,2019,0.5,0.348,1,0.7205,0.6535,0.6945,0.7015,Lower middle income,South Asia,163046161
Fiji,FJI,2019,0.5,0.285,1,0.512166667,0.501333333,0.6945,0.5,Upper middle income,East Asia & Pacific,889953
Botswana,BWA,2019,0.5,0.497,1,0.634666667,0.609,0.9445,0.5555,Upper middle income,Sub-Saharan Africa,2303697
Samoa,WSM,2019,0.5,0.405,1,0.472833333,0.4735,0.6945,0.5,Upper middle income,East Asia & Pacific,197097
Niger,NER,2019,0.5,0.359,1,0.611166667,0.4995,0.9445,0.5905,Low income,Sub-Saharan Africa,23310715
"Iran, Islamic Rep.",IRN,2019,0.5,0.294,1,0.570666667,0.509666667,0.4445,0.4445,Upper middle income,Middle East & North Africa,82913906
Malawi,MWI,2019,0.5,0.337,1,0.713,0.5615,0.9445,0.5555,Low income,Sub-Saharan Africa,18628747
Mozambique,MOZ,2019,0.5,0.229,1,0.654166667,0.605833333,0.9445,0.667,Low income,Sub-Saharan Africa,30366036
Cambodia,KHM,2019,0.5,0.276,1,0.549166667,0.638,0.6945,0.579,Lower middle income,East Asia & Pacific,16486542
Cote d'Ivoire,CIV,2019,0.5,0.297,1,0.733666667,0.612166667,0.6945,0.746,Lower middle income,Sub-Saharan Africa,25716544
Tajikistan,TJK,2019,0.5,0.441,0,0.6655,0.557,0.9445,0.6275,Low income,Europe & Central Asia,9321018
Lesotho,LSO,2019,0.5,0.398,1,0.578166667,0.451333333,0.4445,0.7225,Lower middle income,Sub-Saharan Africa,2125268
Algeria,DZA,2019,0.5,0.304,1,0.484,0.610333333,0.6945,0.6115,Lower middle income,Middle East & North Africa,43053054
Angola,AGO,2019,0.5,0.219,1,0.691166667,0.636,0.9445,0.559,Lower middle income,Sub-Saharan Africa,31825295
Uzbekistan,UZB,2019,0.5,0.18,1,0.52,0.505833333,0.4445,0.488,Lower middle income,Europe & Central Asia,33580650
Cabo Verde,CPV,2019,0.5,0.28,1,0.595833333,0.595166667,0.6945,0.5,Lower middle income,Sub-Saharan Africa,549935
Jamaica,JAM,2019,0.5,0.712,1,0.533833333,0.505833333,0.4445,0.667,Upper middle income,Latin America & Caribbean,2948279
Kenya,KEN,2019,0.5,0.314,1,0.618833333,0.5655,0.6945,0.667,Lower middle income,Sub-Saharan Africa,52573973
Bahrain,BHR,2019,0.5,0.428,1,0.4305,0.4455,0.278,0.422,High income,Middle East & North Africa,1641172
Lao PDR,LAO,2019,0.5,0.199,1,0.586166667,0.467166667,0.4445,0.667,Lower middle income,East Asia & Pacific,7169455
Burkina Faso,BFA,2019,0.5,0.287,1,0.605666667,0.566833333,0.9445,0.5,Low income,Sub-Saharan Africa,20321378
Ethiopia,ETH,2019,0.5,0.299,1,0.773166667,0.6125,0.9445,0.6115,Low income,Sub-Saharan Africa,112078730
Nigeria,NGA,2019,0.5,0.372,1,0.591833333,0.499166667,0.4445,0.67,Lower middle income,Sub-Saharan Africa,200963599
Nepal,NPL,2019,0.5,0.34,1,0.740833333,0.554833333,0.9445,0.6115,Lower middle income,South Asia,28608710
Cameroon,CMR,2019,0.5,0.347,1,0.579166667,0.6155,0.9445,0.6335,Lower middle income,Sub-Saharan Africa,25876380
Maldives,MDV,2019,0.5,0.396,0,0.721,0.532166667,0.889,0.5905,Upper middle income,South Asia,530953
Sierra Leone,SLE,2019,0.5,0.457,1,0.669166667,0.513166667,0.6945,0.7225,Low income,Sub-Saharan Africa,7813215
Namibia,NAM,2019,0.5,0.392,1,0.6215,0.635333333,0.9445,0.522,Upper middle income,Sub-Saharan Africa,2494530
Bhutan,BTN,2019,0.5,0.277,1,0.7145,0.585166667,0.9445,0.579,Lower middle income,South Asia,763092
Madagascar,MDG,2019,0.5,0.189,1,0.645666667,0.588166667,0.6945,0.6115,Low income,Sub-Saharan Africa,26969307
Mali,MLI,2019,0.5,0.393,1,0.7045,0.565666667,0.639,0.689,Low income,Sub-Saharan Africa,19658031
Lebanon,LBN,2019,0.5,0.378,1,0.5815,0.462166667,0.9445,0.516,Upper middle income,Middle East & North Africa,6855713
Nicaragua,NIC,2019,0.5,0.301,1,0.419666667,0.4385,0.4445,0.6115,Lower middle income,Latin America & Caribbean,6545502
Timor-Leste,TLS,2019,0.5,0.247,1,0.6015,0.498833333,0.6945,0.746,Lower middle income,East Asia & Pacific,1293119
Burundi,BDI,2019,0.5,0.351,1,0.697333333,0.591333333,0.9445,0.7015,Low income,Sub-Saharan Africa,11530580
St. Lucia,LCA,2019,0.5,0.178,1,0.490166667,0.409833333,0.4445,0.5345,Upper middle income,Latin America & Caribbean,182790
Suriname,SUR,2019,0.5,0.373,1,0.462333333,0.4385,0.4445,0.5835,Upper middle income,Latin America & Caribbean,581363
"Bahamas, The",BHS,2019,0.5,0.319,0,0.302833333,0.4195,0.278,0.422,High income,Latin America & Caribbean,389482
Afghanistan,AFG,2019,0.5,0.297,1,0.693,0.608833333,0.9445,0.6145,Low income,South Asia,38041754
Liberia,LBR,2019,0.5,0.365,0,0.563333333,0.552833333,0.6945,0.503,Low income,Sub-Saharan Africa,4937374
Seychelles,SYC,2019,1,0.394,0,0.519,0.503,0.6945,0.4665,High income,Sub-Saharan Africa,97625
Mauritania,MRT,2019,0.5,0.374,1,0.560166667,0.3985,0.4445,0.503,Lower middle income,Sub-Saharan Africa,4525696
Benin,BEN,2019,0.5,0.249,1,0.635166667,0.5145,0.389,0.7445,Lower middle income,Sub-Saharan Africa,11801151
Eswatini,SWZ,2019,0.5,0.173,0,0.622833333,0.619666667,0.9445,0.4235,Lower middle income,Sub-Saharan Africa,1148130
Guinea,GIN,2019,0.5,0.342,1,0.594333333,0.462166667,0.6945,0.7015,Low income,Sub-Saharan Africa,12771246
"Gambia, The",GMB,2019,0.5,0.356,0,0.709833333,0.528166667,0.889,0.5905,Low income,Sub-Saharan Africa,2347706
St. Vincent and the Grenadines,VCT,2019,0.5,0.38,1,0.4135,0.367333333,0.4445,0.5555,Upper middle income,Latin America & Caribbean,110589
"Venezuela, RB",VEN,2019,0.5,0.297,1,0.480833333,0.481833333,0.6945,0.5835,Upper middle income,Latin America & Caribbean,28515829
Trinidad and Tobago,TTO,2019,0.5,0.318,0,0.381166667,0.396166667,0.3335,0.5525,High income,Latin America & Caribbean,1394973
Solomon Islands,SLB,2019,0.5,0.313,1,0.491333333,0.377333333,0.4445,0.746,Lower middle income,East Asia & Pacific,669823
Guyana,GUY,2019,0.5,0.223,1,0.492,0.436333333,0.3335,0.572,Upper middle income,Latin America & Caribbean,782766
Papua New Guinea,PNG,2019,0.5,0.158,1,0.472166667,0.455166667,0.6945,0.578,Lower middle income,East Asia & Pacific,8776109
Vanuatu,VUT,2019,0.5,0.274,1,0.398333333,0.434,0.6945,0.4665,Lower middle income,East Asia & Pacific,299882
Sao Tome and Principe,STP,2019,0.5,0.242,0,0.436666667,0.385666667,0.4445,0.5235,Lower middle income,Sub-Saharan Africa,215056
Sudan,SDN,2019,0.5,0.238,1,0.520166667,0.493666667,0.9445,0.4665,Low income,Sub-Saharan Africa,42813238
Chad,TCD,2019,0.5,0.046,1,0.612166667,0.446666667,0.4445,0.567,Low income,Sub-Saharan Africa,15946876
Haiti,HTI,2019,0.5,0.09,0,0.541333333,0.439833333,0.4445,0.7105,Low income,Latin America & Caribbean,11263077
"Yemen, Rep.",YEM,2019,0.5,0.266,0,0.317833333,0.407833333,0.4445,0.411,Low income,Middle East & North Africa,29161922
Djibouti,DJI,2019,0.5,0.311,1,0.424166667,0.3775,0.4445,0.479,Lower middle income,Middle East & North Africa,973560
"Congo, Rep.",COG,2019,0.5,0.338,0,0.4945,0.453833333,0.4445,0.5345,Lower middle income,Sub-Saharan Africa,5380508
Iraq,IRQ,2019,0.5,0.25,0,0.604666667,0.575166667,0.9445,0.472,Upper middle income,Middle East & North Africa,39309783
"Congo, Dem. Rep.",COD,2019,0.5,0.288,0,0.445833333,0.457333333,0.4445,0.392,Low income,Sub-Saharan Africa,86790567
Guinea-Bissau,GNB,2019,0.5,0.318,0,0.328333333,0.447666667,0.639,0.392,Low income,Sub-Saharan Africa,1920922
South Sudan,SSD,2019,0,0.253,1,0.442166667,0.458333333,0.6945,0.267,Low income,Sub-Saharan Africa,11062113
Gabon,GAB,2019,0.5,0.212,0,0.425833333,0.415666667,0.389,0.411,Upper middle income,Sub-Saharan Africa,2172579
Syrian Arab Republic,SYR,2019,0.5,0.245,0,0.318666667,0.4335,0.4445,0.3465,Low income,Middle East & North Africa,17070135
Kiribati,KIR,2019,0.5,0.273,0,0.388666667,0.480833333,0.639,0.4475,Lower middle income,East Asia & Pacific,117606
"Micronesia, Fed. Sts.",FSM,2019,0.5,0.269,0,0.356166667,0.418166667,0.6945,0.317,Lower middle income,East Asia & Pacific,113815
Turkmenistan,TKM,2019,0,0.019,0,0.4095,0.415,0.4445,0.425,Upper middle income,Europe & Central Asia,5942089
Libya,LBY,2019,0.5,0.119,0,0.329833333,0.360666667,0.4445,0.333,Upper middle income,Middle East & North Africa,6777452
Marshall Islands,MHL,2019,0.5,0.223,0,0.422166667,0.362666667,0.389,0.354,Upper middle income,East Asia & Pacific,58791
Somalia,SOM,2019,0,0.081,1,0.357333333,0.444166667,0.9445,0.2875,Low income,Sub-Saharan Africa,15442905
American Samoa,ASM,2019,0,,,0.115333333,0.154666667,0.5835,0.1945,Upper middle income,East Asia & Pacific,55312
Andorra,AND,2019,0,,0,0.241333333,0.23,0.3335,0.3955,High income,Europe & Central Asia,77142
Antigua and Barbuda,ATG,2019,0.5,,0,0.464166667,0.492166667,0.389,0.4575,High income,Latin America & Caribbean,97118
Aruba,ABW,2019,0.5,,,0.087666667,0.206333333,0.278,0.206,High income,Latin America & Caribbean,106314
Barbados,BRB,2019,0.5,,0,0.412833333,0.5365,0.778,0.441,High income,Latin America & Caribbean,287025
Bermuda,BMU,2019,0,,,0.14,0.1275,0.278,0.258,High income,North America,63918
British Virgin Islands,VGB,2019,0,,,0.1475,0.192333333,0.278,0.156,High income,Latin America & Caribbean,30030
Brunei Darussalam,BRN,2019,0.5,,1,0.338666667,0.4995,0.3335,0.4095,High income,East Asia & Pacific,433285
Cayman Islands,CYM,2019,0,,,0.080833333,0.205333333,0.278,0.232,High income,Latin America & Caribbean,64948
Central African Republic,CAF,2019,0.5,,0,0.485666667,0.4615,0.6945,0.4,Low income,Sub-Saharan Africa,4745185
Channel Islands,CHI,2019,0,,,,,,,High income,Europe & Central Asia,172259
Comoros,COM,2019,0.5,,1,0.460166667,0.481,0.9445,0.4445,Lower middle income,Sub-Saharan Africa,850886
Cuba,CUB,2019,0,0.306,,0.5165,0.432833333,0.4445,0.4575,Upper middle income,Latin America & Caribbean,11333483
Curacao,CUW,2019,0,,,0.063833333,0.285166667,0.278,0.156,High income,Latin America & Caribbean,157538
Dominica,DMA,2019,0.5,,0,0.389,0.367333333,0.389,0.5345,Upper middle income,Latin America & Caribbean,71808
Equatorial Guinea,GNQ,2019,0,,1,0.405666667,0.444833333,0.6945,0.3445,Upper middle income,Sub-Saharan Africa,1355986
Eritrea,ERI,2019,0,,0,0.3765,0.3905,0.4445,0.2875,Low income,Sub-Saharan Africa,
Faroe Islands,FRO,2019,0,,,0.056166667,0.0875,0.278,0.2025,High income,Europe & Central Asia,48678
French Polynesia,PYF,2019,0,,,0.028333333,0.174333333,0.3335,0.1875,High income,East Asia & Pacific,279287
Gibraltar,GIB,2019,0,,,0.123666667,0.108333333,0.1665,0.173,High income,Europe & Central Asia,33701
Greenland,GRL,2019,0,,,0.070666667,0.097,0.3335,0.1665,High income,Europe & Central Asia,56225
Grenada,GRD,2019,0.5,,0,0.440833333,0.388333333,0.4445,0.516,Upper middle income,Latin America & Caribbean,112003
Guam,GUM,2019,0,,,0.0915,0.160166667,0.278,0.1945,High income,East Asia & Pacific,167294
"Hong Kong SAR, China",HKG,2019,1,0.812,,0.212,0.291333333,0.3335,0.4555,High income,East Asia & Pacific,7507400
Isle of Man,IMN,2019,0,,,0.051666667,0.109,0.1665,0.222,High income,Europe & Central Asia,84584
"Korea, Dem. People’s Rep.",PRK,2019,0,,,0.485666667,0.391166667,0.4445,0.3725,Low income,East Asia & Pacific,25666161
Kosovo,XKX,2019,0.5,0.48,1,,,,,Upper middle income,Europe & Central Asia,1794248
Liechtenstein,LIE,2019,0,0.486,,0.189666667,0.230333333,0.3335,0.3395,High income,Europe & Central Asia,38019
"Macao SAR, China",MAC,2019,0.5,0.424,,0.1975,0.209,0.278,0.4165,High income,East Asia & Pacific,640445
Monaco,MCO,2019,0,,,0.245,0.214833333,0.472,0.3395,High income,Europe & Central Asia,38964
Nauru,NRU,2019,0,,0,0.338833333,0.360833333,0.389,0.3055,High income,East Asia & Pacific,12581
New Caledonia,NCL,2019,0,,,0.1285,0.138666667,0.3335,0.147,High income,East Asia & Pacific,287800
Northern Mariana Islands,MNP,2019,0,,,0.0915,0.051833333,0.3335,0.139,High income,East Asia & Pacific,57216
Palau,PLW,2019,0.5,,0,0.274166667,0.360833333,0.389,0.433,High income,East Asia & Pacific,18008
Puerto Rico,PRI,2019,0,,,0.156,0.221,0.3335,0.3135,High income,Latin America & Caribbean,3193694
San Marino,SMR,2019,0.5,,1,0.249833333,0.1765,0.222,0.2285,High income,Europe & Central Asia,33860
Sint Maarten (Dutch part),SXM,2019,0,,,0.035333333,0.097,0.278,0.111,High income,Latin America & Caribbean,40733
St. Kitts and Nevis,KNA,2019,0.5,,0,0.214166667,0.3165,0.278,0.402,High income,Latin America & Caribbean,52834
St. Martin (French part),MAF,2019,0,,,0,0.0935,0.1665,0.1175,High income,Latin America & Caribbean,38002
"Taiwan, China",TWN,2019,0,0.605,,,,,,High income,East Asia & Pacific,
Tonga,TON,2019,0.5,,1,0.3825,0.429333333,0.6945,0.479,Upper middle income,East Asia & Pacific,104494
Turks and Caicos Islands,TCA,2019,0,,,0.030333333,0.172,0.278,0.139,High income,Latin America & Caribbean,38191
Tuvalu,TUV,2019,0.5,,0,0.368166667,0.391166667,0.3335,0.317,Upper middle income,East Asia & Pacific,11646
Virgin Islands (U.S.),VIR,2019,0,,,0.0075,0.126833333,0.278,0.111,High income,Latin America & Caribbean,106631
Norway,NOR,2018,1,0.767,1,0.757833333,0.775333333,1,0.6335,High income,Europe & Central Asia,5311916
Italy,ITA,2018,1,0.756,1,0.732,0.797833333,1,0.561,High income,Europe & Central Asia,60421760
Austria,AUT,2018,1,0.739,1,0.7255,0.786,1,0.5835,High income,Europe & Central Asia,8840521
Slovenia,SVN,2018,1,0.908,1,0.750166667,0.774166667,1,0.561,High income,Europe & Central Asia,2073894
United States,USA,2018,1,0.82,1,0.593,0.612166667,0.9445,0.4865,High income,North America,326687501
Sweden,SWE,2018,1,0.846,1,0.712166667,0.774166667,1,0.639,High income,Europe & Central Asia,10175214
Finland,FIN,2018,1,0.848,1,0.712666667,0.797833333,1,0.5835,High income,Europe & Central Asia,5515525
Poland,POL,2018,1,0.853,1,0.721166667,0.7805,0.75,0.5835,High income,Europe & Central Asia,37974750
Australia,AUS,2018,1,0.78,1,0.7235,0.751333333,1,0.5505,High income,East Asia & Pacific,24982688
